Designator,Mid X,Mid Y,Rotation,Layer
AMB1,319.087232,-106.858504,180.0,bottom
AMB10,319.087768,-55.06636,180.0,bottom
AMB2,319.087232,-101.103821,180.0,bottom
AMB3,319.087232,-95.349139,180.0,bottom
AMB4,319.087232,-89.594456,180.0,bottom
AMB5,319.087232,-83.839773,180.0,bottom
AMB6,319.087232,-78.085091,180.0,bottom
AMB7,319.087232,-72.330408,180.0,bottom
AMB8,319.087232,-66.575725,180.0,bottom
AMB9,319.087232,-60.821043,180.0,bottom
C1,204.75,-135.0,0.0,bottom
C10,190.25,-147.35,90.0,bottom
C11,185.76,-140.5,0.0,bottom
C12,204.75,-139.25,180.0,bottom
C13,181.0,-70.0,0.0,bottom
C14,178.0,-67.2,270.0,bottom
C15,325.45,-122.776,0.0,bottom
C16,323.3625,-117.501,90.0,bottom
C17,185.75,-133.25,180.0,bottom
C18,185.75,-132.25,180.0,bottom
C19,189.0,-127.5,90.0,bottom
C2,204.75,-141.25,180.0,bottom
C20,192.347,-130.2,0.0,bottom
C21,192.35,-129.18,0.0,bottom
C22,202.35,-120.45,0.0,bottom
C23_2,267.05,-113.7975,270.0,bottom
C23,171.5,-51.0,0.0,bottom
C24,190.5,-51.0,180.0,bottom
C25,197.7,-147.35,90.0,bottom
C26,192.4,-147.35,270.0,bottom
C27,185.75,-143.8,0.0,bottom
C28,131.5,-132.55,90.0,bottom
C29,328.6,-115.426,0.0,bottom
C3,201.75,-147.342999,270.0,bottom
C30,174.4,-67.95,90.0,bottom
C4,199.75,-147.342998,90.0,bottom
C5,185.76,-141.5,180.0,bottom
C6,189.25,-147.35,90.0,bottom
C7,185.75,-130.25,180.0,bottom
C8,197.7,-127.5,90.0,bottom
C9,196.7,-127.5,90.0,bottom
CA1,323.887232,-107.608504,180.0,bottom
CA10,323.887768,-55.81636,180.0,bottom
CA2,323.887232,-101.853821,180.0,bottom
CA3,323.887232,-96.099139,180.0,bottom
CA4,323.887232,-90.344456,180.0,bottom
CA5,323.887232,-84.589773,180.0,bottom
CA6,323.887232,-78.835091,180.0,bottom
CA7,323.887232,-73.080408,180.0,bottom
CA8,323.887232,-67.325725,180.0,bottom
CA9,323.887232,-61.571043,180.0,bottom
CG1,323.887232,-43.849968,180.0,bottom
CG2,323.887232,-38.849968,180.0,bottom
CG3,323.887232,-33.849968,180.0,bottom
CL1,42.9,-33.77,180.0,bottom
CL10,228.6375,-33.77,180.0,bottom
CL11,247.6875,-33.77,180.0,bottom
CL12,266.7375,-33.77,180.0,bottom
CL13,285.7875,-33.77,180.0,bottom
CL14,309.6,-33.77,180.0,bottom
CL15,42.9,-57.5825,180.0,bottom
CL16,61.95,-57.5825,180.0,bottom
